otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu434	no_match	no_match	Anas	765185	Anas
otu617	Eulipoa wallacei	molscr1	Eulipoa_wallacei	750774	Eulipoa wallacei
otu618	Megapodius cumingii	tabscr1	Megapodius_cumingii	255470	Megapodius cumingii
otu619	Megapodius tenimberensis	tanscr1	Megapodius_tenimberensis	750772	Megapodius tenimberensis
otu620	Megapodius layardi	vanscr1	Megapodius_layardi	227314	Megapodius layardi
otu621	Megapodius pritchardii	niuscr1	Megapodius_pritchardii	227315	Megapodius pritchardii
otu625	Megapodius eremita	melscr1	Megapodius_eremita	570964	Megapodius eremita
otu626	Megapodius reinwardt	orfscr1	Megapodius_reinwardt	1014129	Megapodius reinwardt
otu623	not_a_bird	not_a_bird	Megapodius_forsteni	3596030	Megapodius forsteni
otu624	Megapodius freycinet	dusscr2	Megapodius_freycinet	837568	Megapodius freycinet
otu622	Megapodius decollatus	negscr1	Megapodius_decollatus	227301	Megapodius decollatus
otu629	Leipoa ocellata	mallee1	Leipoa_ocellata	109888	Leipoa ocellata
otu630	Alectura lathami	ausbrt1	Alectura_lathami	570956	Alectura lathami
otu631	Aepypodius arfakianus	watbrt1	Aepypodius_arfakianus	352749	Aepypodius arfakianus
otu628	Talegalla fuscirostris	bkbbrt1	Talegalla_fuscirostris	176333	Talegalla fuscirostris
otu627	Macrocephalon maleo	maleo1	Macrocephalon_maleo	750781	Macrocephalon maleo
otu448	Oreophasis derbianus	horgua1	Oreophasis_derbianus	488145	Oreophasis derbianus
otu463	Ortalis motmot	varcha1	Ortalis_motmot	188788	Ortalis motmot
otu466	Ortalis guttata	specha3	Ortalis_guttata	1061401	Ortalis guttata
otu467	Ortalis cinereiceps	grhcha1	Ortalis_cinereiceps	520559	Ortalis cinereiceps
otu468	Ortalis poliocephala	wemcha1	Ortalis_poliocephala	209805	Ortalis poliocephala
otu469	Ortalis canicollis	chacha1	Ortalis_canicollis	488158	Ortalis canicollis
otu470	Ortalis ruficauda	ruvcha1	Ortalis_ruficauda	188779	Ortalis ruficauda
