otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
Tl3311556	Pitta angolensis	afrpit1	Pitta_angolensis	33874	Pitta angolensis
Tl3311552	Menura novaehollandiae	suplyr1	Menura_novaehollandiae	531206	Menura novaehollandiae
Tl3311527	Sturnus vulgaris	eursta	Sturnus_vulgaris	565813	Sturnus vulgaris
Tl3311532	Nucifraga caryocatactes	eurnut1	Nucifraga_caryocatactes	140439	Nucifraga caryocatactes
Tl3311524	Garrulus glandarius	eurjay1	Garrulus_glandarius	140432	Garrulus glandarius
Tl3311569	Corvus dauuricus	daujac1	Corvus_dauuricus	686165	Corvus dauuricus
Tl3311546	not_a_bird	not_a_bird	Coloeus_monedula	None	None
Tl3311564	Corvus pectoralis	colcro1	Corvus_pectoralis	282315	Corvus pectoralis
Tl3311570	Corvus corone	carcro1	Corvus_corone	711844	Corvus corone
Tl3311536	Corvus cornix	hoocro1	Corvus_cornix	597020	Corvus cornix
Tl3311566	Corvus brachyrhynchos	amecro	Corvus_brachyrhynchos	331952	Corvus brachyrhynchos
Tl3311525	Corvus caurinus	norcro	Corvus_caurinus	183621	Corvus caurinus
Tl3311537	Corvus florensis	flocro1	Corvus_florensis	249747	Corvus florensis
Tl3311577	Corvus enca	slbcro1	Corvus_enca	137336	Corvus enca
Tl3311547	Corvus unicolor	bancro1	Corvus_unicolor	872547	Corvus unicolor
Tl3311562	Corvus typicus	pipcro1	Corvus_typicus	872553	Corvus typicus
Tl3311567	Corvus validus	lobcro1	Corvus_validus	872556	Corvus validus
Tl3311568	Corvus woodfordi	guacro1	Corvus_woodfordi	397154	Corvus woodfordi
Tl3311550	Corvus meeki	boucro1	Corvus_meeki	48946	Corvus meeki
Tl3311542	Corvus moneduloides	neccro1	Corvus_moneduloides	200022	Corvus moneduloides
Tl3311575	Corvus tristis	grycro1	Corvus_tristis	872550	Corvus tristis
Tl3311523	Corvus fuscicapillus	brhcro1	Corvus_fuscicapillus	249763	Corvus fuscicapillus
Tl3311559	Corvus coronoides	ausrav1	Corvus_coronoides	808257	Corvus coronoides
Tl3311555	Corvus tasmanicus	forrav1	Corvus_tasmanicus	872542	Corvus tasmanicus
Tl3311530	Corvus mellori	litrav1	Corvus_mellori	289472	Corvus mellori
Tl3311573	Corvus bennetti	litcro1	Corvus_bennetti	318529	Corvus bennetti
Tl3311543	not_a_bird	not_a_bird	Corvus_orru_insularis	None	None
Tl3311551	Corvus orru	torcro2	Corvus_orru	439411	Corvus orru
Tl3311540	Corvus violaceus	slbcro3	Corvus_violaceus	872559	Corvus violaceus
Tl3311531	Corvus macrorhynchos culminatus	labcro3	Corvus_culminatus	669405	Corvus culminatus
Tl3311565	Corvus kubaryi	marcro1	Corvus_kubaryi	913180	Corvus kubaryi
Tl3311541	Corvus macrorhynchos	labcro1	Corvus_macrorhynchos	549510	Corvus macrorhynchos
Tl3311563	not_a_bird	not_a_bird	Corvus_levaillantii	None	None
Tl3311571	Corvus splendens	houcro1	Corvus_splendens	38262	Corvus splendens
Tl3311560	Corvus hawaiiensis	hawcro	Corvus_hawaiiensis	883103	Corvus hawaiiensis
Tl3311576	Corvus frugilegus	rook1	Corvus_frugilegus	219955	Corvus frugilegus
Tl3311522	Corvus albicollis	whnrav1	Corvus_albicollis	127684	Corvus albicollis
Tl3311572	Corvus crassirostris	thbrav1	Corvus_crassirostris	348668	Corvus crassirostris
Tl3311553	Corvus corax	comrav	Corvus_corax	140425	Corvus corax
Tl3311557	Corvus albus	piecro1	Corvus_albus	711837	Corvus albus
Tl3311549	Corvus edithae	somcro2	Corvus_edithae	197467	Corvus edithae
Tl3311526	Corvus rhipidurus	fatrav1	Corvus_rhipidurus	348023	Corvus rhipidurus
Tl3311528	Corvus ruficollis	brnrav1	Corvus_ruficollis	1052485	Corvus ruficollis
Tl3311544	Corvus cryptoleucus	chirav	Corvus_cryptoleucus	754774	Corvus cryptoleucus
Tl3311554	no_match	no_match	Corvus_minutus	199843	Corvus minutus
Tl3311558	Corvus palmarum	palcro2	Corvus_palmarum	1052451	Corvus palmarum
Tl3311574	Corvus sinaloae	sincro1	Corvus_sinaloae	984751	Corvus sinaloae
Tl3311539	Corvus imparatus	tamcro	Corvus_imparatus	569586	Corvus imparatus
Tl3311534	Corvus ossifragus	fiscro	Corvus_ossifragus	406128	Corvus ossifragus
Tl3311561	Corvus capensis	capcro2	Corvus_capensis	318522	Corvus capensis
Tl3311545	Corvus nasicus	cubcro1	Corvus_nasicus	5933	Corvus nasicus
Tl3311548	Corvus leucognaphalus	whncro1	Corvus_leucognaphalus	995878	Corvus leucognaphalus
Tl3311529	Corvus jamaicensis	jamcro1	Corvus_jamaicensis	48922	Corvus jamaicensis
Tl3311538	Pica pica	eurmag1	Pica_pica	776471	Pica pica
Tl3311533	Dicrurus bracteatus	spadro1	Dicrurus_bracteatus	524120	Dicrurus bracteatus
Tl3311535	Acanthisitta chloris	riflem1	Acanthisitta_chloris	1085740	Acanthisitta chloris
