otu_id	^clo:ClementsTaxonName2019	^clo:speciescode2019	^ot:originalLabel	^ot:ottId	^ot:ottTaxonName
otu426612	Nipponia nippon	creibi1	Nipponia_nippon	946418	Nipponia nippon
otu426608	Platalea flavipes	yebspo1	Platalea_flavipes_1	453063	Platalea flavipes
otu426609	Platalea flavipes	yebspo1	Platalea_flavipes_2	453063	Platalea flavipes
otu426610	Platalea ajaja	rosspo1	Platalea_ajaja	951123	Platalea ajaja
otu426607	Platalea alba	afrspo1	Platalea_alba	1057477	Platalea alba
otu426601	Platalea leucorodia	eurspo1	Platalea_leucorodia_leucorodia_2	317305	Platalea leucorodia
otu426602	no_match	no_match	Platalea_leucorodia_archeri	1029468	Platalea leucorodia archeri
otu426600	Platalea leucorodia	eurspo1	Platalea_leucorodia_leucorodia_1	317305	Platalea leucorodia
otu426606	Platalea regia	royspo1	Platalea_regia_2	453066	Platalea regia
otu426605	Platalea regia	royspo1	Platalea_regia_1	453066	Platalea regia
otu426603	Platalea minor	blfspo1	Platalea_minor_1	738327	Platalea minor
otu426604	Platalea minor	blfspo1	Platalea_minor_2	738327	Platalea minor
otu426611	Threskiornis aethiopicus	sacibi2	Threskiornis_aethiopicus	413795	Threskiornis aethiopicus
otu426613	Eudocimus ruber	scaibi	Eudocimus_ruber	689773	Eudocimus ruber
otu426614	Ardea alba	greegr	Ardea_alba	625779	Ardea alba
otu426615	Nycticorax nycticorax	bcnher	Nycticorax_nycticorax	313126	Nycticorax nycticorax
