Ortalis_motmot_ruficeps,Ortalis_ruficeps
Penelope_obscura_bridgesi,Penelope_bridgesi
Xenoperdix_udzungwensis_obscurata,Xenoperdix_udzungwensis_obscuratus
Falcipennis_canadensis,Canachites_canadensis
Falcipennis_canadensis_[canadensis_Group],Canachites_canadensis_[canadensis_Group]
Falcipennis_canadensis_franklinii,Canachites_canadensis_franklinii/isleibi
Bonasa_umbellus/Falcipennis_canadensis,Bonasa_umbellus/Canachites_canadensis
Tetrao_tetrix,Lyrurus_tetrix
Tetrao_urogallus_x_tetrix,Tetrao_urogallus_x_Lyrurus_tetrix
Tetrao_mlokosiewiczi,Lyrurus_mlokosiewiczi
Arborophila_chloropus,Tropicoperdix_chloropus
Arborophila_chloropus_tonkinensis,Tropicoperdix_chloropus_tonkinensis
Arborophila_chloropus_[chloropus_Group],Tropicoperdix_chloropus_[chloropus_Group]
Arborophila_charltonii,Tropicoperdix_charltonii
Arborophila_charltonii_charltonii/atjenensis,Tropicoperdix_charltonii_charltonii/atjenensis
Arborophila_charltonii_graydoni,Tropicoperdix_charltonii_graydoni
Arborophila_sp.,Arborophila/Tropicoperdix_sp.
Phasianinae_sp.,Phasianidae_sp._(pheasant_sp.)
Dendroperdix_sephaena,Ortygornis_sephaena
Dendroperdix_sephaena_rovuma,Ortygornis_sephaena_rovuma
Dendroperdix_sephaena_[sephaena_Group],Ortygornis_sephaena_[sephaena_Group]
Francolinus_pondicerianus,Ortygornis_pondicerianus
Francolinus_gularis,Ortygornis_gularis
Peliperdix_coqui,Campocolinus_coqui
Peliperdix_coqui_[hubbardi_Group],Campocolinus_coqui_[hubbardi_Group]
Peliperdix_coqui_coqui,Campocolinus_coqui_coqui
Peliperdix_albogularis,Campocolinus_albogularis
Peliperdix_albogularis_albogularis/buckleyi,Campocolinus_albogularis_albogularis/buckleyi
Peliperdix_albogularis_dewittei,Campocolinus_albogularis_dewittei
Peliperdix_schlegelii,Campocolinus_schlegelii
Anurophasis_monorthonyx,Synoicus_monorthonyx
Alectoris_graeca_x_rufa,Alectoris_rufa_x_graeca
Alectoris_graeca/rufa,Alectoris_rufa/graeca
Pternistis/Francolinus/Peliperdix/Scleroptila_sp.,Phasianidae_sp._(francolin_sp.)
Coua_cristata_[cristata_Group],Coua_cristata_cristata/dumonti
Chaetura_vauxi_andrei,Chaetura_andrei
Cypsiurus_parvus_griveaudi,Cypsiurus_gracilis_griveaudi
Cypsiurus_parvus_gracilis,Cypsiurus_gracilis_gracilis
Colibri_cyanotus/coruscans,Colibri_coruscans/cyanotus
Lophornis_chalybeus_verreauxii/klagesi,Lophornis_verreauxii
Lophornis_chalybeus_chalybeus,Lophornis_chalybeus
Selasphorus_rufus_x_calliope,Selasphorus_calliope_x_rufus
Selasphorus_platycercus_x_calliope,Selasphorus_calliope_x_platycercus
Atthis_heloisa,Selasphorus_heloisa
Atthis_ellioti,Selasphorus_ellioti
Cynanthus_sordidus,Phaeoptila_sordida
Chlorostilbon_ricordii,Riccordia_ricordii
Chlorostilbon_bracei,Riccordia_bracei
Chlorostilbon_bracei_bracei,Riccordia_bracei_bracei
Chlorostilbon_bracei_elegans,Riccordia_bracei_elegans
Chlorostilbon_swainsonii,Riccordia_swainsonii
Chlorostilbon_maugaeus,Riccordia_maugaeus
Cyanophaia_bicolor,Riccordia_bicolor
Cynanthus_latirostris_doubledayi,Cynanthus_doubledayi
Chlorostilbon_auriceps,Cynanthus_auriceps
Chlorostilbon_forficatus,Cynanthus_forficatus
Chlorostilbon_canivetii,Cynanthus_canivetii
Chlorostilbon_canivetii_canivetii,Cynanthus_canivetii_canivetii
Chlorostilbon_canivetii_salvini/osberti,Cynanthus_canivetii_salvini/osberti
Chlorostilbon_sp.,Riccordia/Cynanthus/Chlorostilbon_sp.
Hylocharis_leucotis,Basilinna_leucotis
Hylocharis_xantusii,Basilinna_xantusii
Campylopterus_curvipennis,Pampa_curvipennis
Campylopterus_curvipennis_curvipennis,Pampa_curvipennis_curvipennis
Campylopterus_curvipennis_pampa,Pampa_curvipennis_pampa
Campylopterus_excellens,Pampa_excellens
Campylopterus_rufus,Pampa_rufa
Campylopterus_largipennis_diamantinensis,Campylopterus_diamantinensis
Thalurania_furcata/glaucopis,Thalurania_glaucopis/furcata
Elvira_cupreiceps,Microchera_cupreiceps
Elvira_chionura,Microchera_chionura
Goethalsia_bella,Goldmania_bella
Thalurania_ridgwayi,Eupherusa_ridgwayi
Leucippus_baeri,Thaumasius_baeri
Leucippus_taczanowskii,Thaumasius_taczanowskii
Aphantochroa_cirrochloris,Eupetomena_cirrochloris
Leucippus_chlorocercus,Talaphorus_chlorocercus
Amazilia_violiceps,Leucolia_violiceps
Cynanthus_latirostris_x_Amazilia_violiceps,Cynanthus_latirostris_x_Leucolia_violiceps
Amazilia_viridifrons,Leucolia_viridifrons
Amazilia_viridifrons_viridifrons,Leucolia_viridifrons_viridifrons
Amazilia_viridifrons_wagneri,Leucolia_viridifrons_wagneri
Amazilia_cyanocephala,Saucerottia_cyanocephala
Amazilia_cyanocephala_cyanocephala,Saucerottia_cyanocephala_cyanocephala
Amazilia_cyanocephala_chlorostephana,Saucerottia_cyanocephala_chlorostephana
Amazilia_hoffmanni,Saucerottia_hoffmanni
Amazilia_beryllina,Saucerottia_beryllina
Amazilia_beryllina_beryllina/viola,Saucerottia_beryllina_beryllina/viola
Amazilia_beryllina_[devillei_Group],Saucerottia_beryllina_[devillei_Group]
Eugenes_fulgens_x_Amazilia_beryllina,Eugenes_fulgens_x_Saucerottia_beryllina
Amazilia_cyanura,Saucerottia_cyanura
Amazilia_edward,Saucerottia_edward
Amazilia_saucerottei,Saucerottia_saucerottei
Amazilia_alfaroana_[unrecognized_species],Saucerottia_alfaroana_[unrecognized_species]
Amazilia_cyanifrons,Saucerottia_cyanifrons
Amazilia_castaneiventris,Saucerottia_castaneiventris
Amazilia_viridigaster,Saucerottia_viridigaster
Amazilia_viridigaster_[viridigaster_Group],Saucerottia_viridigaster_viridigaster/iodura
Amazilia_viridigaster_[cupreicauda_Group],Saucerottia_viridigaster_[cupreicauda_Group]
Amazilia_tobaci,Saucerottia_tobaci
Amazilia_tzacatl_x_rutila,Amazilia_rutila_x_tzacatl
Amazilia_luciae_x_cyanocephala,Saucerottia_cyanocephala_x_Amazilia_luciae
Amazilia_amazilia,Amazilis_amazilia
Amazilia_amazilia_[dumerilii_Group],Amazilis_amazilia_[dumerilii_Group]
Amazilia_amazilia_amazilia,Amazilis_amazilia_amazilia
Amazilia_amazilia_caeruleigularis,Amazilis_amazilia_caeruleigularis
Amazilia_franciae,Uranomitra_franciae
Amazilia_versicolor,Chrysuronia_versicolor
Amazilia_versicolor_[versicolor_Group],Chrysuronia_versicolor_[versicolor_Group]
Amazilia_versicolor_rondoniae,Chrysuronia_versicolor_rondoniae
Lepidopyga_goudoti,Chrysuronia_goudoti
Lepidopyga_coeruleogularis,Chrysuronia_coeruleogularis
Lepidopyga_lilliae,Chrysuronia_lilliae
Lepidopyga_sp.,Chrysuronia_goudoti/coeruleogularis/lilliae
Hylocharis_humboldtii,Chrysuronia_humboldtii
Hylocharis_grayi,Chrysuronia_grayi
Amazilia_brevirostris,Chrysuronia_brevirostris
Amazilia_leucogaster,Chrysuronia_leucogaster
Amazilia_fimbriata,Chionomesa_fimbriata
Amazilia_lactea,Chionomesa_lactea
Amazilia_lactea_lactea/zimmeri,Chionomesa_lactea_lactea/zimmeri
Amazilia_lactea_bartletti,Chionomesa_lactea_bartletti
Amazilia_chionogaster,Elliotomyia_chionogaster
Amazilia_viridicauda,Elliotomyia_viridicauda
Amazilia_rosenbergi,Polyerata_rosenbergi
Amazilia_amabilis,Polyerata_amabilis
Amazilia_decora,Polyerata_decora
Amazilia_candida,Chlorestes_candida
Hylocharis_eliciae,Chlorestes_eliciae
Hylocharis_cyanus,Chlorestes_cyanus
Juliamyia_julie,Chlorestes_julie
Mentrocrex_kioloides,Mentocrex_kioloides
Mentrocrex_beankaensis,Mentocrex_beankaensis
Amaurornis_cinerea,Poliolimnas_cinereus
Charadrius_alexandrinus_dealbatus,Charadrius_dealbatus
Numenius_phaeopus_variegatus,Numenius_phaeopus_variegatus/rogachevae
Gallinago_paraguaiae_paraguaiae,Gallinago_paraguaiae
Gallinago_paraguaiae_magellanica,Gallinago_magellanica
Gallinago_paraguaiae,Gallinago_paraguaiae/magellanica
Larus_canus_brachyrhynchus,Larus_brachyrhynchus
Thalasseus_maximus_albididorsalis,Thalasseus_albididorsalis
Oceanodroma_furcata,Hydrobates_furcatus
Oceanodroma_hornbyi,Hydrobates_hornbyi
Oceanodroma_leucorhoa,Hydrobates_leucorhous
Oceanodroma_leucorhoa_leucorhoa,Hydrobates_leucorhous_leucorhous
Oceanodroma_leucorhoa_chapmani,Hydrobates_leucorhous_chapmani
Oceanodroma_socorroensis,Hydrobates_socorroensis
Oceanodroma_leucorhoa/socorroensis,Hydrobates_leucorhous/socorroensis
Oceanodroma_leucorhoa/socorroensis_(dark-rumped),Hydrobates_leucorhous/socorroensis_(dark-rumped)
Oceanodroma_leucorhoa/socorroensis_(white-rumped),Hydrobates_leucorhous/socorroensis_(white-rumped)
Oceanodroma_cheimomnestes,Hydrobates_cheimomnestes
Oceanodroma_leucorhoa/socorroensis/cheimomnestes,Hydrobates_leucorhoa/socorroensis/cheimomnestes
Oceanodroma_monorhis,Hydrobates_monorhis
Oceanodroma_homochroa,Hydrobates_homochroa
Oceanodroma_castro,Hydrobates_castro
Oceanodroma_castro_castro,Hydrobates_castro_castro
Oceanodroma_castro_[undescribed_form],Hydrobates_castro_[undescribed_form]
Oceanodroma_castro_bangsi,Hydrobates_castro_bangsi
