TAXON_ORDER	CATEGORY	SPECIES_CODE	PRIMARY_COM_NAME	SCI_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS	ottid	parent_ottid	name	rank	source	uniqname	flags	match_type
1	species	ostric2	Common Ostrich	Struthio camelus	Struthioniformes	Struthionidae (Ostriches)	Ostriches		647692	292466	Struthio camelus	species	ncbi:8801,gbif:2495150,irmng:10199490			canonical_match
6	species	ostric3	Somali Ostrich	Struthio molybdophanes	Struthioniformes	Struthionidae (Ostriches)			3600823	292466	Struthio molybdophanes	species	gbif:2495149			canonical_match
7	slash	y00934	Common/Somali Ostrich	Struthio camelus/molybdophanes	Struthioniformes	Struthionidae (Ostriches)			-	-	-	-	-	-	-	unmatched
8	species	grerhe1	Greater Rhea	Rhea americana	Rheiformes	Rheidae (Rheas)	Rheas		857864	857863	Rhea americana	species	ncbi:8797,gbif:2495165,irmng:10199491,irmng:10538314			canonical_match
14	species	lesrhe2	Lesser Rhea	Rhea pennata	Rheiformes	Rheidae (Rheas)			857860	745450	Pterocnemia pennata	species	ncbi:8795,gbif:2495160,irmng:10217785,irmng:10199492			synonym_match
15	issf	lesrhe4	Lesser Rhea (Puna)	Rhea pennata tarapacensis/garleppi	Rheiformes	Rheidae (Rheas)		lesrhe2	-	-	-	-	-	-	-	unmatched
18	issf	lesrhe3	Lesser Rhea (Darwin's)	Rhea pennata pennata	Rheiformes	Rheidae (Rheas)		lesrhe2	-	-	-	-	-	-	-	unmatched
19	species	tabtin1	Tawny-breasted Tinamou	Nothocercus julius	Tinamiformes	Tinamidae (Tinamous)	Tinamous		3600814	3600812	Nothocercus julius	species	gbif:2477472,irmng:10218702			canonical_match
20	species	higtin1	Highland Tinamou	Nothocercus bonapartei	Tinamiformes	Tinamidae (Tinamous)			3600815	3600812	Nothocercus bonapartei	species	gbif:2477473,irmng:10594160			canonical_match
21	issf	higtin2	Highland Tinamou (South American)	Nothocercus bonapartei [bonapartei Group]	Tinamiformes	Tinamidae (Tinamous)		higtin1	-	-	-	-	-	-	-	unmatched
26	issf	higtin3	Highland Tinamou (Costa Rican)	Nothocercus bonapartei frantzii	Tinamiformes	Tinamidae (Tinamous)		higtin1	-	-	-	-	-	-	-	unmatched
27	species	hootin1	Hooded Tinamou	Nothocercus nigrocapillus	Tinamiformes	Tinamidae (Tinamous)			3600813	3600812	Nothocercus nigrocapillus	species	ncbi:1977171,gbif:2477469,irmng:11109001			canonical_match
30	species	grytin1	Gray Tinamou	Tinamus tao	Tinamiformes	Tinamidae (Tinamous)			466704	402450	Tinamus tao	species	ncbi:69492,gbif:2477622,irmng:11161128			canonical_match
35	species	soltin1	Solitary Tinamou	Tinamus solitarius	Tinamiformes	Tinamidae (Tinamous)			3600785	402450	Tinamus solitarius	species	ncbi:2496573,gbif:2477627,irmng:10587785			canonical_match
36	species	blatin1	Black Tinamou	Tinamus osgoodi	Tinamiformes	Tinamidae (Tinamous)			3600786	402450	Tinamus osgoodi	species	gbif:2477618,irmng:10190394			canonical_match
39	species	gretin1	Great Tinamou	Tinamus major	Tinamiformes	Tinamidae (Tinamous)			402466	402450	Tinamus major	species	ncbi:30468,gbif:2477630,irmng:11131605			canonical_match
52	species	whttin1	White-throated Tinamou	Tinamus guttatus	Tinamiformes	Tinamidae (Tinamous)			306216	402450	Tinamus guttatus	species	ncbi:94827,gbif:2477621,irmng:10895804			canonical_match
53	spuh	tinamu1	Tinamus sp.	Tinamus sp.	Tinamiformes	Tinamidae (Tinamous)			-	-	-	-	-	-	-	unmatched
54	species	cintin1	Cinereous Tinamou	Crypturellus cinereus	Tinamiformes	Tinamidae (Tinamous)			647586	870604	Crypturellus cinereus	species	ncbi:1118537,gbif:2477533,irmng:10190417			canonical_match
55	species	bertin1	Berlepsch's Tinamou	Crypturellus berlepschi	Tinamiformes	Tinamidae (Tinamous)			3600796	870604	Crypturellus berlepschi	species	gbif:2477528,irmng:10218703			canonical_match
56	species	littin1	Little Tinamou	Crypturellus soui	Tinamiformes	Tinamidae (Tinamous)			960236	870604	Crypturellus soui	species	ncbi:458187,gbif:2477507,irmng:10200033			canonical_match
71	species	teptin1	Tepui Tinamou	Crypturellus ptaritepui	Tinamiformes	Tinamidae (Tinamous)			3600793	870604	Crypturellus ptaritepui	species	gbif:2477506,irmng:10199755			canonical_match
72	species	brotin1	Brown Tinamou	Crypturellus obsoletus	Tinamiformes	Tinamidae (Tinamous)			983480	870604	Crypturellus obsoletus	species	ncbi:858303,gbif:2477535,irmng:10190420			canonical_match
73	issf	brntin1	Brown Tinamou (castaneus)	Crypturellus obsoletus castaneus	Tinamiformes	Tinamidae (Tinamous)		brotin1	-	-	-	-	-	-	-	unmatched
74	issf	brntin2	Brown Tinamou (Brown)	Crypturellus obsoletus [obsoletus Group]	Tinamiformes	Tinamidae (Tinamous)		brotin1	-	-	-	-	-	-	-	unmatched
83	species	undtin1	Undulated Tinamou	Crypturellus undulatus	Tinamiformes	Tinamidae (Tinamous)			870607	870604	Crypturellus undulatus	species	ncbi:48396,gbif:2477560,irmng:11434238			canonical_match
90	species	pabtin1	Pale-browed Tinamou	Crypturellus transfasciatus	Tinamiformes	Tinamidae (Tinamous)			3600794	870604	Crypturellus transfasciatus	species	gbif:2477545,irmng:10975537			canonical_match
91	species	bratin1	Brazilian Tinamou	Crypturellus strigulosus	Tinamiformes	Tinamidae (Tinamous)			167137	870604	Crypturellus strigulosus	species	ncbi:135192,gbif:2477559,irmng:10199773			canonical_match
