Name,Ott_Taxon_name,OTT TAXON ID
Acanthidops bairdii,Acanthidops bairdi,6154181
Accipiter erythronemius,Accipiter striatus,1015194
Minla cyanouroptera,Actinodura cyanouroptera,6152756
Minla strigula,Actinodura strigula,6152760
Collocalia vanikorensis,Aerodramus vanikorensis,332662
Neochmia modesta,Aidemosyne modesta,311555
Prionodura newtoniana,Amblyornis newtoniana,3598659
Ammodramus leconteii,Ammospiza leconteii,7068415
Philydor lichtensteini,Anabacerthia lichtensteini,6152626
Grus rubicunda,Antigone rubicunda,7659875
Grus vipio,Antigone vipio,7659876
Modulatrix orostruthus,Arcanator orostruthus,310375
Andropadus montanus,Arizelocichla montana,7068635
Schizoeaca harterti,Asthenes harterti,3598376
Oreophylax moreirae,Asthenes moreirae,3598383
Hyloctistes subulatus,Automolus subulatus,6152644
Basileuterus hypoleucus,Basileuterus culicivorus,508027
Phaeothlypis fulvicauda,Basileuterus fulvicauda,357657
Bubo magellanicus,Bubo virginianus,509853
Harpyhaliaetus coronatus,Buteogallus coronatus,6151491
Leucopternis lacernulatus,Buteogallus lacernulatus,6151492
Cacicus leucoramphus,Cacicus chrysonotus,383909
Ocyalus latirostris,Cacicus latirostris,6153462
Cuculus pallidus,Cacomantis pallidus,3596351
Aphriza virgata,Calidris virgata,6151078
Luscinia pectardens,Calliope pectardens,4947846
Thryothorus longirostris,Cantorchilus longirostris,7068223
Nectarinia senegalensis,Chalcomitra senegalensis,638699
Alethe poliocephala,Chamaetylas poliocephala,7068385
Damophila julie,Chlorestes julie,
Chlorospingus ophthalmicus,Chlorospingus flavopectus,3597308
Chroicocephalus scopulinus,Chroicocephalus novaehollandiae,887696
Rhamphomantis megarhynchus,Chrysococcyx megarhynchus,3596347
Chalcites minutillus,Chrysococcyx minutillus,7659410
Nectarinia minulla,Cinnyris minullus,4131397
Certhionyx pectoralis,Cissomela pectoralis,7068375
Hylocryptus erythrocephalus,Clibanornis erythrocephalus,6152652
Oreomanes fraseri,Conirostrum binghami,7662342
Saxicoloides fulicatus,Copsychus fulicatus,3598207
Corvus caurinus,Corvus brachyrhynchos,331952
Ceyx madagascariensis,Corythornis madagascariensis,3596464
Alcedo vintsioides,Corythornis vintsioides,3596463
Cranioleuca baroni,Cranioleuca antisiensis,548202
Serinus hypostictus,Crithagra hyposticta,7661222
Sylvia nana,Curruca nana,7068651
Cyanocompsa brissonii,Cyanoloxia brissonii,7661234
Nectarinia olivacea,Cyanomitra olivacea,325639
Rhinomyias ruficauda,Cyornis ruficauda,3598181
Rhinomyias umbratilis,Cyornis umbratilis,3598198
Muscicapa infuscata,Cyornis umbratilis,
Stachyris plateni,Dasycrotapha plateni,7068663
Lepidogrammus cumingi,Dasylophus cumingi,3603295
Anthreptes fraseri,Deleornis fraseri,520458
Mesopicos goertae,Dendropicos goertae,704540
Mesopicos griseocephalus,Dendropicos griseocephalus,329876
Diomedea antipodensis,Diomedea exulans,71459
Diomedea amsterdamensis,Diomedea exulans,
Diomedea dabbenena,Diomedea exulans,
Dives warszewiczi,Dives warczewiczi,264496
Doryfera ludoviciae,Doryfera ludovicae,3600520
Delothraupis castaneoventris,Dubusia castaneoventris,6154283
Schoeniclus rusticus,Emberiza rustica,7068450
Eriocnemis alinae,Eriocnemis aline,3600580
Pomatorhinus hypoleucos,Erythrogenys hypoleucos,
Pitta kochi,Erythropitta kochi,857814
Rhinomyias additus,Eumyias additus,3598170
Falco pelegrinoides,Falco peregrinus,786435
Muscicapella hodgsoni,Ficedula hodgsoni,7660859
Muscicapa caerulescens,Fraseria caerulescens,7660862
Muscicapa olivascens,Fraseria olivascens,7660865
Myioparus plumbeus,Fraseria plumbea,7660866
Estrilda caerulescens,Glaucestrilda caerulescens,
Glaucidium californicum,Glaucidium gnoma,178693
Glaucidium nanum,Glaucidium nana,5857152
