ORIGINAL LABEL, OTT TAXON NAME, OTT TAXON ID
Saroglossa spilopterus, Psaroglossa spiloptera,7663542
Strigops habroptila, Strigops greyii,7663184
Caloramphus hayii, Caloramphus hayii,7662947
Yungipicus kizuki, Yungipicus kizuki,7662877
Dendrocoptes auriceps, Dendrocoptes auriceps,7662873
Euscarthmus fulviceps, Euscarthmus fulviceps,7662575
Turdus murinus, Turdus murinus,7662510
Saltator olivascens, Saltator olivascens,7662425
Saltator grandis, Saltator grandis,7662418
Thlypopsis superciliaris, Thlypopsis superciliaris,7662409
Sporophila morelleti, Sporophila morelleti,7662403
Sporathraupis cyanocephala, Sporathraupis cyanocephala,7662399
Saltatricula atricollis, Saltatricula atricollis,7662396
Poospiza rufosuperciliaris, Poospiza rufosuperciliaris,7662385
Poospiza goeringi, Poospiza goeringi,7662383
Idiopsar speculifer, Idiopsar speculifer,7662365
Conirostrum binghami, Conirostrum binghami,7662342
Herpsilochmus frater, Herpsilochmus frater,7662296
Zosterops auriventer, Zosterops auriventer,7662248
Zosterops anjuanensis, Zosterops anjuanensis,7662242
Zosterops anderssoni, Zosterops anderssoni,7662241
Turdoides nipalensis, Timalia nipalensis,7662232
Stachyris roberti, Stachyris roberti,7662228
Iole crypta, Iole crypta,7662003
Iole cacharensis, Iole cacharensis,7662002
Brachypodius fuscoflavescens, Brachypodius fuscoflavescens,7661984
Phylloscopus whistleri, Phylloscopus whistleri,7661975
Phylloscopus valentini, Phylloscopus valentini,7661974
Phylloscopus tephrocephalus, Phylloscopus tephrocephalus,7661972
Phylloscopus soror, Phylloscopus soror,7661971
Phylloscopus poliogenys, Phylloscopus poliogenys,7661968
Phylloscopus omeiensis, Phylloscopus omeiensis,7661966
Phylloscopus intermedius, Phylloscopus intermedius,7661965
Phylloscopus castaniceps, Phylloscopus castaniceps,7661961
Phylloscopus burkii, Phylloscopus burkii,7661959
Helopsaltes pryeri, Helopsaltes pryeri,7661935
Helopsaltes ochotensis, Helopsaltes ochotensis,7661934
Helopsaltes fasciolatus, Helopsaltes fasciolatus,7661933
Helopsaltes certhiola, Helopsaltes certhiola,7661932
Helopsaltes amnicola, Helopsaltes amnicola,7661931
Pterorhinus vassali, Pterorhinus vassali,7661913
Pterorhinus sannio, Pterorhinus sannio,7661912
Pterorhinus poecilorhynchus, Pterorhinus poecilorhynchus,7661911
Pterorhinus perspicillatus, Pterorhinus perspicillatus,7661910
Pterorhinus pectoralis, Pterorhinus pectoralis,7661909
Pterorhinus lanceolatus, Pterorhinus lanceolatus,7661908
Pterorhinus gularis, Pterorhinus gularis,7661907
Pterorhinus davidi, Pterorhinus davidi,7661906
Pterorhinus chinensis, Pterorhinus chinensis,7661905
Pterorhinus albogularis, Pterorhinus albogularis,7661904
Argya gularis, Argya gularis,7661877
Prinia rufifrons, Prinia rufifrons,7661836
Spizocorys fremantlii, Spizocorys fremantlii,7661765
Eremopterix hova, Eremopterix hova,7661738
Aplonis ulietensis, Aplonis ulietensis,7661681
Lamprolia klinesmithi, Lamprolia klinesmithi,7661621
Scytalopus perijanus, Scytalopus perijanus,7661617
Scytalopus alvarezlopezi, Scytalopus alvarezlopezi,7661615
Pitta vigorsii, Pitta vigorsii,7661603
Pitta concinna, Pitta concinna,7661592
Machaeropterus eckelberryi, Machaeropterus eckelberryi,7661579
Foudia delloni, Foudia delloni,7661523
Passer cinnamomeus, Passer cinnamomeus,7661508
Basileuterus tacarcunae, Basileuterus tacarcunae,7661473
Basileuterus melanotis, Basileuterus melanotis,7661467
Leptocoma aspasia, Leptocoma aspasia,7661432
Anthus peruvianus, Anthus peruvianus,7661349
Anthus nicholsoni, Anthus nicholsoni,7661345
Leistes superciliaris, Leistes superciliaris,7661299
Leistes loyca, Leistes loyca,7661298
Leistes defilippii, Leistes defilippii,7661296
Cyanoloxia brissonii, Cyanoloxia brissonii,7661234
Crithagra hyposticta, Crithagra hyposticta,7661222
Loxia sinesciuris, Loxia sinesciuris,7661197
Junco bairdi, Junco bairdi,7661072
Arremon dorbignii, Arremon dorbignii,7661048
Sittiparus owstoni, Sittiparus owstoni,7661041
Sittiparus olivaceus, Sittiparus olivaceus,7661040
Sittiparus castaneoventris, Sittiparus castaneoventris,7661039
Myrmecocichla monticola, Myrmecocichla monticola,7660947
Melaenornis semipartitus, Melaenornis semipartitus,7660874
Melaenornis herero, Melaenornis herero,7660873
Fraseria tessmanni, Fraseria tessmanni,7660867
Fraseria plumbea, Fraseria plumbea,7660866
